gps_obssec(s),lat,lng,alt,vn,ve,hdop,no. of sats
595320.000,33.709982,73.090896,557.00,0.000,0.000,2.80,7
595320.100,33.709982,73.090896,557.00,0.000,0.000,2.80,7
595320.200,33.709982,73.090896,557.00,0.000,0.000,2.80,7
595320.300,33.709982,73.090896,557.00,0.000,0.000,2.80,7
595320.400,33.709982,73.090896,557.00,0.000,0.000,2.80,7
595320.500,33.709982,73.090896,557.00,0.000,0.000,2.80,7
595320.600,33.709982,73.090896,557.00,0.000,0.000,2.80,7
595320.700,33.709982,73.090896,557.00,0.000,0.000,2.80,7
595320.800,33.709982,73.090896,557.00,0.000,0.000,2.80,7
595320.900,33.709982,73.090896,557.00,0.000,0.000,2.80,7
595321.000,33.709982,73.090896,557.00,0.000,0.000,2.80,7
595321.100,33.709982,73.090896,557.00,0.000,0.000,2.80,7
595321.200,33.709982,73.090896,557.00,0.000,0.000,2.80,7
595321.300,33.709982,73.090896,557.00,0.000,0.000,2.80,7
595321.400,33.709982,73.090896,557.00,0.000,0.000,2.80,7
595321.500,33.709982,73.090896,556.90,0.000,0.000,2.80,7
595321.600,33.709982,73.090896,556.90,0.000,0.000,2.80,7
595321.700,33.709982,73.090896,556.90,0.000,0.000,2.80,7
595321.800,33.709982,73.090896,556.90,0.000,0.000,2.80,7
595321.900,33.709982,73.090896,556.90,0.000,0.000,2.80,7
595322.000,33.709982,73.090896,556.90,0.000,0.000,2.80,7
595322.100,33.709982,73.090896,556.90,0.000,0.000,2.80,7
595322.200,33.709982,73.090896,556.90,0.000,0.000,2.80,7
595322.300,33.709982,73.090896,556.90,0.000,0.000,2.80,7
595322.400,33.709982,73.090896,556.90,0.000,0.000,2.80,7
595322.500,33.709982,73.090896,556.90,0.000,0.000,2.80,7
595322.600,33.709982,73.090896,556.90,0.000,0.000,2.80,7
595322.700,33.709982,73.090896,556.90,0.000,0.000,2.80,7
595322.800,33.709982,73.090896,556.90,0.000,0.000,2.80,8
595322.900,33.709982,73.090897,556.90,0.000,0.000,2.80,8
595323.000,33.709982,73.090897,556.90,0.000,0.000,2.80,8
595323.100,33.709982,73.090897,556.90,0.000,0.000,2.80,8
595323.200,33.709982,73.090897,556.90,0.000,0.000,2.80,8
595323.300,33.709982,73.090897,556.90,0.000,0.000,2.80,8
595323.400,33.709982,73.090897,556.90,0.000,0.000,2.80,8
595323.500,33.709982,73.090897,556.90,0.000,0.000,2.80,8
595323.600,33.709982,73.090897,556.90,0.000,0.000,2.80,8
595323.700,33.709982,73.090897,556.90,0.000,0.000,2.80,8
595323.800,33.709982,73.090897,556.90,0.000,0.000,2.80,8
595323.900,33.709982,73.090897,556.90,0.000,0.000,2.80,8
595324.000,33.709982,73.090897,556.90,0.000,0.000,2.80,8
595324.100,33.709982,73.090897,556.90,0.000,0.000,2.80,8
595324.200,33.709982,73.090897,556.90,0.000,0.000,2.80,8
595324.300,33.709982,73.090897,556.90,0.000,0.000,2.80,8
595324.400,33.709982,73.090897,556.90,0.000,0.000,2.80,8
595324.500,33.709982,73.090897,556.90,0.000,0.000,2.80,8
595324.600,33.709981,73.090897,556.90,0.000,0.000,2.80,8
595324.700,33.709981,73.090898,556.90,0.000,0.000,2.80,8
595324.800,33.709981,73.090898,556.90,0.000,0.000,2.80,8
595324.900,33.709981,73.090898,556.90,0.000,0.000,2.80,8
