GPStime,lat_deg,lon_deg,h_m,vn_mps,ve_mps
43429,33.713935,73.0883368,554.1,0,0
43429.1,33.7139352,73.0883368,554.1,0,0
43429.2,33.7139352,73.0883368,554.1,0,0
43429.3,33.7139352,73.0883368,554.1,0,0
43429.5,33.7139352,73.0883368,554.1,0,0
43429.6,33.7139352,73.0883368,554.1,0,0
43429.7,33.7139352,73.0883368,554.1,0,0
43429.8,33.7139352,73.0883368,554.1,0,0
43429.9,33.7139352,73.088337,554.1,0,0
43430,33.7139352,73.088337,554.1,0,0
43430.1,33.7139352,73.088337,554.1,0,0
43430.3,33.7139352,73.088337,554.1,0,0
43430.4,33.7139352,73.088337,554.1,0,0
43430.5,33.7139352,73.088337,554.1,0,0
43430.6,33.7139352,73.088337,554.1,0,0
43430.7,33.7139352,73.088337,554.1,0,0
43430.8,33.7139352,73.088337,554.1,0,0
43430.9,33.7139352,73.088337,554.1,0,0
43431,33.7139352,73.088337,554.2,0,0
43431.1,33.7139352,73.088337,554.2,0,0
43431.2,33.7139352,73.088337,554.2,0,0
43431.4,33.7139352,73.088337,554.2,0,0
43431.5,33.7139352,73.088337,554.2,0,0
43431.6,33.7139352,73.088337,554.2,0,0
43431.7,33.7139352,73.088337,554.2,0,0
43431.8,33.7139352,73.088337,554.2,0,0
43431.9,33.7139352,73.088337,554.2,0,0
43432,33.7139352,73.088337,554.2,0,0
43432.1,33.7139352,73.088337,554.2,0,0
43432.2,33.7139352,73.088337,554.2,0,0
43432.3,33.7139352,73.088337,554.2,0,0
43432.4,33.7139352,73.088337,554.2,0,0
43432.6,33.7139352,73.088337,554.2,0,0
43432.7,33.7139352,73.088337,554.2,0,0
43432.8,33.7139352,73.088337,554.2,0,0
43432.9,33.7139352,73.088337,554.2,0,0
43433,33.7139352,73.088337,554.2,0,0
43433.1,33.7139352,73.0883372,554.2,0,0
43433.2,33.7139352,73.0883372,554.2,0,0
43433.3,33.7139352,73.0883372,554.2,0,0
43433.4,33.7139352,73.0883372,554.2,0,0
43433.6,33.7139352,73.0883372,554.2,0,0
43433.7,33.7139352,73.0883372,554.2,0,0
43433.8,33.7139352,73.0883372,554.3,0,0
43433.9,33.7139352,73.0883372,554.3,0,0
43434,33.7139352,73.0883372,554.3,0,0
43434.1,33.7139353,73.0883372,554.3,0,0
43434.2,33.7139353,73.0883372,554.3,0,0
43434.3,33.7139353,73.0883372,554.3,0,0
43434.5,33.7139353,73.0883372,554.3,0,0
43434.6,33.7139353,73.0883373,554.3,0,0
43434.7,33.7139353,73.0883373,554.3,0,0
43434.8,33.7139353,73.0883373,554.3,0,0
43434.9,33.7139353,73.0883373,554.3,0,0
43435,33.7139353,73.0883373,554.3,0,0
43435.1,33.7139353,73.0883373,554.3,0,0
43435.2,33.7139353,73.0883373,554.3,0,0
43435.3,33.7139355,73.0883373,554.3,0,0
43435.5,33.7139355,73.0883373,554.3,0,0
43435.6,33.7139355,73.0883375,554.3,0,0
43435.7,33.7139355,73.0883375,554.3,0,0
43435.8,33.7139355,73.0883375,554.4,0,0
43435.9,33.7139355,73.0883375,554.4,0,0
43436,33.7139355,73.0883375,554.4,0,0
43436.1,33.7139355,73.0883375,554.4,0,0
43436.3,33.7139355,73.0883375,554.4,0,0
43436.4,33.7139355,73.0883375,554.4,0,0
43436.5,33.7139355,73.0883375,554.4,0,0
43436.6,33.7139355,73.0883375,554.4,0,0
43436.7,33.7139355,73.0883375,554.4,0,0
43436.8,33.7139355,73.0883377,554.4,0,0
43437,33.7139355,73.0883377,554.4,0,0
43437.1,33.7139355,73.0883377,554.4,0,0
43437.2,33.7139355,73.0883377,554.4,0,0
43437.3,33.7139355,73.0883377,554.4,0,0
43437.4,33.7139355,73.0883377,554.4,0,0
43437.5,33.7139355,73.0883377,554.4,0,0
43437.7,33.7139355,73.0883377,554.4,0,0
43437.8,33.7139355,73.0883377,554.4,0,0
43437.9,33.7139355,73.0883377,554.4,0,0
43438,33.7139355,73.0883377,554.4,0,0
43438.1,33.7139355,73.0883377,554.4,0,0
43438.2,33.7139355,73.0883377,554.4,0,0
43438.4,33.7139355,73.0883377,554.4,0,0
43438.5,33.7139355,73.0883377,554.4,0,0
43438.6,33.7139355,73.0883377,554.4,0,0
43438.7,33.7139355,73.0883377,554.4,0,0
43438.8,33.7139355,73.0883377,554.4,0,0
43439,33.7139355,73.0883378,554.5,0,0
43439.1,33.7139355,73.0883378,554.5,0,0
43439.3,33.7139355,73.0883378,554.5,0,0
43439.4,33.7139355,73.0883378,554.5,0,0
43439.5,33.7139355,73.0883378,554.5,0,0
43439.7,33.7139355,73.0883378,554.5,0,0
43439.8,33.7139355,73.0883378,554.5,0,0
43440,33.7139355,73.0883378,554.5,0,0
43440.1,33.7139355,73.0883378,554.5,0,0
43440.2,33.7139355,73.0883378,554.5,0,0
43440.4,33.7139355,73.0883378,554.5,0,0
43440.5,33.7139355,73.0883378,554.5,0,0
43440.6,33.7139355,73.0883378,554.5,0,0
43440.8,33.7139355,73.0883378,554.5,0,0
43440.9,33.7139355,73.0883378,554.5,0,0
43441,33.7139355,73.0883378,554.5,0,0
