gps_obssec(s),lat,lng,alt,vn,ve,hdop,no. of sats
43403.200,33.7139230,73.0883437,555.00,0.000,0.000,0.80,17
43403.300,33.7139230,73.0883435,555.00,0.000,0.000,0.80,17
43403.400,33.7139230,73.0883435,555.00,0.000,0.000,0.80,17
43403.500,33.7139230,73.0883435,555.00,0.000,0.000,0.80,17
43403.600,33.7139230,73.0883435,555.00,0.000,0.000,0.80,17
43403.700,33.7139232,73.0883435,555.00,0.000,0.000,0.80,17
43403.800,33.7139232,73.0883435,554.90,0.000,0.000,0.80,17
43403.900,33.7139232,73.0883435,554.90,0.000,0.000,0.80,17
43404.100,33.7139233,73.0883433,554.90,0.000,0.000,0.80,17
43404.200,33.7139233,73.0883433,554.90,0.000,0.000,0.80,17
43404.300,33.7139233,73.0883433,554.90,0.000,0.000,0.80,17
43404.400,33.7139233,73.0883433,554.90,0.000,0.000,0.80,17
43404.500,33.7139235,73.0883433,554.90,0.000,0.000,0.80,17
43404.600,33.7139235,73.0883432,554.90,0.000,0.000,0.80,17
43404.700,33.7139235,73.0883432,554.90,0.000,0.000,0.80,17
43404.800,33.7139237,73.0883432,554.90,0.000,0.000,0.80,17
43404.900,33.7139237,73.0883430,554.90,0.000,0.000,0.80,17
43405.000,33.7139237,73.0883430,554.90,0.000,0.000,0.80,17
43405.100,33.7139238,73.0883430,554.90,0.000,0.000,0.80,17
43405.200,33.7139238,73.0883428,554.90,0.000,0.000,0.80,17
43405.300,33.7139238,73.0883428,554.80,0.000,0.000,0.80,17
43405.400,33.7139240,73.0883427,554.80,0.000,0.000,0.80,17
43405.500,33.7139240,73.0883427,554.80,0.000,0.000,0.80,17
43405.600,33.7139242,73.0883427,554.80,0.000,0.000,0.80,17
43405.700,33.7139242,73.0883427,554.80,0.000,0.000,0.80,17
43405.800,33.7139242,73.0883427,554.80,0.000,0.000,0.80,17
43405.900,33.7139243,73.0883425,554.80,0.000,0.000,0.80,17
43406.000,33.7139243,73.0883425,554.80,0.000,0.000,0.80,17
43406.100,33.7139243,73.0883425,554.80,0.000,0.000,0.80,17
